True Label,NN Pred Label,Model Pred Label,Objective Value,Objective Bounds,Gap,Solver Time,Node Count
1,1,6,67.9376978647,67.9376978647,6.27524415539385E-16,10.949368,9670
2,2,7,55.7586154079,55.7586154079,6.37159594586078E-16,49.9943151474,57411
4,4,9,132.7959556587,132.7959556587,0,3.3042609692,3543
4,4,9,81.0623838893,81.0623838893,0,1.9579751492,2311
1,1,6,49.5890206317,49.5890206317,2.86572602849705E-16,29.2765309811,31111
6,6,1,68.5740362048,68.5740362048,0,3.871404171,3673
3,3,8,128.7534573666,128.7534573666,0,1.7442159653,1255
5,5,0,81.8318337094,81.8318337094,0,20.3204710484,21342
5,5,0,56.905858805,56.905858805,7.49177062623635E-16,9.8521771431,10068
6,6,1,115.3437423726,115.336756714,6.05638281966873E-05,4.6239719391,4244
0,0,5,92.7980392157,92.7980392157,9.18824675735165E-16,0.0962121487,1
4,4,9,96.1113416338,96.1113416338,5.91432997339566E-16,1.7137150764,1815
1,1,6,36.8196260165,36.8196260165,0,30.4806621075,26347
9,9,4,89.1429039462,89.1429039462,0,0.929489851,682
5,5,0,43.2603938217,43.2603938217,3.2849573154105E-16,17.2024672031,19540
4,4,9,70.5083922491,70.5083922491,0,1.5204281807,1259
7,7,2,92.8280286312,92.8280286312,4.59263918174676E-16,195.4045009613,169759
8,8,3,110.8100566142,110.8100566142,0,20.5262601376,25420
9,9,4,45.1866186887,45.1866186887,0,2.0688140392,1858
3,3,8,73.1568627451,73.1568627451,0,0.1409680843,1
7,7,2,109.1264070295,109.1264070295,0,32.845140934,30898
4,9,9,45.6342355191,45.6342355191,0,2.0646400452,2060
6,6,1,79.4700669802,79.4700669802,5.3646065450294E-16,2.961466074,2968
4,4,9,74.4146624128,74.4146624128,0,5.4098351002,6156
3,3,8,123.6886074849,123.6886074849,6.8935312657334E-16,3.4819319248,3747
0,0,5,97.0509803922,97.0509803922,0,0.2016739845,1
9,9,4,70.9376289312,70.9376289312,0,2.3931179047,2287
7,7,2,78.7023206985,78.7023206985,0,76.7606408596,76621
0,0,5,143.4972259995,143.4972259995,0,3.2045500278,3146
2,3,7,94.5036277628,94.5036277628,0,70.3118429184,81506
9,9,4,102.9666946878,102.9666946878,0,45.2488539219,51104
1,1,6,53.6210799792,53.6210799792,2.65023657127409E-16,23.0721900463,24049
7,7,2,81.5722145759,81.5722145759,0,100.4696938992,100797
3,3,8,60.4620065025,60.4582461021,6.21944359964893E-05,19.9099609852,25558
2,2,7,60.8366859137,60.8366859137,3.5038532675919E-16,6.6669750214,7747
9,9,4,69.8327353378,69.8327353378,0,13.7754089832,15903
7,7,2,137.6043596681,137.6043596681,0,485.8192009926,419790
5,6,0,105.7293713634,105.7293713634,0,5.0128750801,4894
7,7,2,74.2079892209,74.2079892209,1.34050233742771E-15,80.2216989994,71836
6,6,1,89.5389366896,89.5389366896,0,1.9934420586,1480
2,2,7,116.7058820334,116.7058820334,0,49.8409321308,53813
7,7,2,65.0533317268,65.0533317268,0,239.9915809631,213605
8,8,3,96.9496572538,96.9496572538,1.17263785083853E-15,43.8028299809,49422
4,4,9,125.0990838927,125.0906870829,6.7121273446946E-05,5.8785278797,5921
7,7,2,92.02478273,92.02478273,0,93.7593679428,96044
3,3,8,92.414462323,92.4107741523,0.000039909,6.9276759624,7092
6,6,1,93.0771653543,93.0771653543,0,0.135931015,1
1,1,6,59.8954793873,59.8954793873,3.5589133421873E-16,10.306650877,9228
9,9,4,107.2413806365,107.2413806365,0,4.0142519474,4129
3,3,8,86.2298948265,86.2298948265,0,9.8730220795,10881
6,6,1,73.6597000062,73.6597000062,0,2.1704659462,2180
9,9,4,47.8605583211,47.8605583211,7.42305105378292E-16,1.623281002,1557
3,3,8,124.2917098341,124.2917098341,0,7.00111413,7144
1,1,6,81.582545037,81.582545037,1.74189892075085E-16,5.0380740166,5378
4,4,9,140.5858358762,140.5858358762,0,5.8533039093,7491
1,1,6,41.9566439143,41.9566439143,0,18.634303093,17235
7,7,2,105.1354215092,105.1354215092,0,45.9478311539,40900
6,6,1,77.3384231521,77.3384231521,0,8.3707318306,5715
9,9,4,104.8179645604,104.8179645604,0,2.6347858906,2427
